源表行号,任务名称,需求场景,PRD,自动创建子任务,关联项目,优先级,需求来源,需求状态,需求负责 PM,需求群,建群按钮,其他,推进版本（自动查询）,②版本开发计划-关联需求,项目汇总-项目关联需求（需求池中需求）,关联父任务,Epic,阶段,范围分级,验收标准,需求ID,依赖项,阻塞原因,来源类型补充,一期口径,是否MVP必需,负责人角色建议,事实来源,验收补充,风险与阻塞补充,本地来源文档,完善动作,本地MVP映射,AI执行判断,AI下一步动作,AI输出位置,AI验证方式,人工确认点
98,设备机组与水卡授权范围模型,单台设备、机组、多设备列表和水卡可用范围需要建模，避免用户水卡或套餐在错误设备、错误机组或错误水站上使用。,来源：05_设备接口与技术方案/11-共享水站及设备管理系统需求整理.md；05_设备接口与技术方案/10-项目完整框架与三期开发技术文档-HTML版.html；09_架构图与参考图片/03-数据模型ER图.png；需求编号：REQ-074,,六维达康水站项目（需求池完善副本）,P0,竞品分析,方案中,,,建群,30 天 MVP 可只实现 station/device 两级，保留 group/outlet 字段。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,后台可维护水站、设备、机组、出水口之间的层级关系；水卡、套餐或授权记录可绑定到全站、指定机组、指定设备或指定出水口；扫码取水前按授权范围校验；越权尝试写日志并给用户明确提示。,REQ-074,依赖 REQ-019 水站管理、REQ-020 设备管理、REQ-004 扫码识别、REQ-006 水卡校验。,,设备技术方案,骨架方案,骨架,设备,后端数据库,验收补充：最小字段包括 station_id、device_group_id、device_id、outlet_id、scope_type、scope_status、effective_at、expire_at。,真实硬件是否存在机组概念、机组与出水口映射是否稳定需设备厂确认。,05_设备接口与技术方案/11-共享水站及设备管理系统需求整理.md；05_设备接口与技术方案/10-项目完整框架与三期开发技术文档-HTML版.html；09_架构图与参考图片/03-数据模型ER图.png,补授权范围模型，避免只建水站/设备两层导致水卡权限无法准确落到设备组或出水口。,新增：T4；关联 REQ-019、REQ-020、REQ-004、REQ-006,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需确认设备厂协议、样机、命令集、ACK 语义、心跳/故障码、二维码/刷卡能力。
99,实体水卡刷卡在线授权与离线策略,实体水卡刷卡取水时，设备需要把 card_id 或卡号上报平台授权；断网或平台不可达时，需要明确白名单、限额和补传策略。,来源：05_设备接口与技术方案/11-共享水站及设备管理系统需求整理.md；05_设备接口与技术方案/10-项目完整框架与三期开发技术文档-HTML版.html；03_需求规格与业务规则/13-需求-在线购卡充值.md；需求编号：REQ-075,,六维达康水站项目（需求池完善副本）,P0,竞品分析,方案中,,,建群,若甲方一期不接实体卡，可保留协议字段和风险说明。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,水卡,一期,一期重要,设备上报 card_id、device_id、station_id、请求时间和取水参数；平台返回允许/拒绝、可用水量、限额和失败原因；离线模式需配置是否允许、单次限额、日限额、白名单和补传规则；离线补传不得重复扣减。,REQ-075,依赖 REQ-006 水卡余额校验、REQ-041 断网补传、REQ-043 回调幂等、REQ-074 授权范围。,,设备技术方案,一期预留,骨架,设备,后端数据库,验收补充：实体卡绑定、解绑、挂失、冻结状态需影响刷卡授权；离线补传必须进入审计和对账。,设备是否支持在线等授权、离线缓存和卡号加密取决于硬件协议；真实扣费不进 30 天 MVP。,05_设备接口与技术方案/11-共享水站及设备管理系统需求整理.md；05_设备接口与技术方案/10-项目完整框架与三期开发技术文档-HTML版.html；03_需求规格与业务规则/13-需求-在线购卡充值.md,补实体卡刷卡授权，不把实体卡简单等同于虚拟余额字段。,新增：T5；关联 REQ-006、REQ-041、REQ-043、REQ-074,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
100,计时启动型共享设备预留模型,后续可能接入按时长启动的共享设备，如投氧机、头氧机或其他非按升数计费设备，需要在设备模型中预留计时型能力。,来源：05_设备接口与技术方案/07-多端流程框架与模拟计划.md；05_设备接口与技术方案/08-多端流程框架与模拟计划-HTML版.html；05_设备接口与技术方案/10-项目完整框架与三期开发技术文档-HTML版.html；需求编号：REQ-076,,六维达康水站项目（需求池完善副本）,P2,竞品分析,方案中,,,建群,水表独立子系统不并入本条。,,设备、水卡、扫码规则、运维工单与授权扩展模型,六维达康水站项目（需求池完善副本）,,设备接入,二期,二期增强,设备类型支持 volume_dispense 与 timed_start 等模式；计时型设备可配置单价、时长、开始/停止指令、超时规则和执行结果；订单模型预留 duration_seconds、started_at、ended_at、actual_duration_seconds 字段。,REQ-076,依赖 REQ-020 设备管理、REQ-030 开始指令、REQ-031 停止指令。,,设备技术方案,二期增强,否,设备,后端数据库,验收补充：一期不开发计时设备 UI，只要求设备类型枚举和订单字段不阻断后续扩展。,不同设备计费、启停和安全规则差异大，二期前需重新做协议评审。,05_设备接口与技术方案/07-多端流程框架与模拟计划.md；05_设备接口与技术方案/08-多端流程框架与模拟计划-HTML版.html；05_设备接口与技术方案/10-项目完整框架与三期开发技术文档-HTML版.html,补共享设备类型扩展点，避免售水设备模型写死为按升数出水。,新增：T6；关联 REQ-020、REQ-030、REQ-031,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认设备厂协议、样机、命令集、ACK 语义、心跳/故障码、二维码/刷卡能力。
101,健康体检预约入口与接口预留,健康生态中存在体检套餐和预约入口，需要记录预约人、联系方式、预约时间和预约状态，并为后续第三方体检机构接口预留。,来源：04_产品端口与业务方案/10-商城与健康体检生态.md；01_对外汇报材料/05-项目完整树状图-文本版.txt；07_接口报价与商务材料/01-接口文档与报价窗口-Markdown版.md；需求编号：REQ-077,,六维达康水站项目（需求池完善副本）,P2,竞品分析,方案中,,,建群,不进入 30 天 MVP。,,二期健康预约、会员营销与消息中心预留,六维达康水站项目（需求池完善副本）,,健康,二期,二期增强,用户端可看到体检预约入口；后台可配置是否开启、跳转链接或预约表单；预约记录包含套餐、预约人、手机号、时间、状态和来源；不采集无必要健康敏感信息；第三方接口未接入时可仅保存预约意向。,REQ-077,依赖 REQ-210 健康档案接口、REQ-211 健康推荐、REQ-052 用户端范围。,,正式PRD,二期增强,否,产品,后端数据库,验收补充：预约入口与健康档案授权分离；用户可取消预约；后台可导出预约清单。,健康体检涉及个人敏感信息和线下履约，需确认资质、隐私协议和第三方接口责任边界。,04_产品端口与业务方案/10-商城与健康体检生态.md；01_对外汇报材料/05-项目完整树状图-文本版.txt；07_接口报价与商务材料/01-接口文档与报价窗口-Markdown版.md,补体检预约，不让健康生态只停留在健康档案和推荐标签。,新增：T7；关联 REQ-210、REQ-211、REQ-052,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需确认合作方接口、资质、结算口径、隐私合规和版本排期。
102,水卡后台运营：代客绑卡、批量开卡、迁移与后台充值,运营人员需要处理线下办卡、代客绑卡、批量开卡、会员卡迁移、后台充值和充值异常，不能只依赖用户自助购卡。,来源：04_产品端口与业务方案/09-会员水卡充值消费财务.md；03_需求规格与业务规则/13-需求-在线购卡充值.md；03_需求规格与业务规则/26-小程序系统功能表.xlsx；需求编号：REQ-078,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,30 天 MVP 可只保留数据模型和后台占位。,,公司后台/系统管理端、配置中心、合规审计与事件白名单,六维达康水站项目（需求池完善副本）,,水卡,一期,一期重要,后台支持单个代客绑卡、批量开卡导入、实体/虚拟卡迁移、后台充值申请、后台充值审核和异常处理；所有人工动作写操作日志；批量导入可下载失败明细；充值和迁移不允许绕过财务审核。,REQ-078,依赖 REQ-006 水卡余额、REQ-007 购卡充值、REQ-023 财务流水、REQ-061 套餐快照。,,正式PRD,商业一期,否,支付财务,后端数据库,验收补充：迁移前后保留旧卡、新卡、操作人、原因、余额快照和附件证据。,后台人工充值和迁移属于高风险资金操作，必须有权限、审批和审计。,04_产品端口与业务方案/09-会员水卡充值消费财务.md；03_需求规格与业务规则/13-需求-在线购卡充值.md；03_需求规格与业务规则/26-小程序系统功能表.xlsx,补水卡后台运营，不把水卡只做成用户自助充值和余额查询。,新增：T8；关联 REQ-006、REQ-007、REQ-023、REQ-061,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/services/api/；water-station/docs/ops/；water-station/docs/requirements/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需确认微信商户号、证书、回调域名、退款权限、分账规则、财务审核口径。
103,配送员注册认证与准入管理,配送端不是任意用户都可进入，需要配送员注册、认证、后台审核或开通，并与水站、区域、任务范围关联。,来源：01_对外汇报材料/02-项目总框架-HTML版.html；04_产品端口与业务方案/07-配送端功能方案.md；06_一期开发执行计划/06-执行-配送端开发.md；需求编号：REQ-079,,六维达康水站项目（需求池完善副本）,P0,客户反馈,方案中,,,建群,30 天 MVP 可用后台手工开通。,,配送端履约、准入、通知、签收申诉与多水种骨架,六维达康水站项目（需求池完善副本）,,配送端,一期,一期必需,配送员可提交姓名、手机号、身份资料或资质材料；后台可审核、启用、停用、分配水站/区域；未通过认证的用户不能进入配送任务；配送员身份切换、接单、签收和申诉均记录操作日志。,REQ-079,依赖 REQ-051 多身份入口、REQ-054 配送端范围、REQ-015 接单配送。,,正式PRD,骨架方案,骨架,配送,后端数据库,验收补充：后台至少支持人工创建/审核配送员；小程序统一入口只展示已开通身份。,配送员资质、是否需要实名认证、劳务关系和保险责任需甲方确认。,01_对外汇报材料/02-项目总框架-HTML版.html；04_产品端口与业务方案/07-配送端功能方案.md；06_一期开发执行计划/06-执行-配送端开发.md,补配送员准入，不让配送端只剩任务列表而没有人员认证和开通流程。,新增：T9；关联 REQ-051、REQ-054、REQ-015、REQ-016,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需确认配送 SLA、申诉处理、照片/GPS 规则、配送员准入和运营责任。
104,消费激励池、直推间推与财务边界,项目有直接推荐、间接推荐和消费激励池等激励规则，需要确定资金来源、比例、冻结、结算和合规边界。,来源：04_产品端口与业务方案/02-项目定位与生态闭环.md；07_接口报价与商务材料/01-接口文档与报价窗口-Markdown版.md；08_录音转写与原始证据/01_新录音32/02-转写结果.docx；需求编号：REQ-080,,六维达康水站项目（需求池完善副本）,P2,客户反馈,方案中,,,建群,不进入 30 天 MVP。,,渠道端一期预留、推送码归属、商城归因与分润边界,六维达康水站项目（需求池完善副本）,,营销,二期,二期增强,后台可配置激励池资金来源、适用订单、直接推荐比例、间接推荐比例、结算周期、冻结期和失效条件；分润流水区分售水分润、配送分润、广告分润和消费激励；规则变更有生效时间和历史快照。,REQ-080,依赖 REQ-045 分账能力、REQ-058 推送码归属、REQ-302 多级结算。,,会议确认,二期增强,否,商务,后端数据库,验收补充：必须明确无推送码默认归属、比例冲突处理、历史订单不重算和异常申诉路径。,消费激励可能触碰多级分销、返利和税务合规，规则需法务/财务确认。,04_产品端口与业务方案/02-项目定位与生态闭环.md；07_接口报价与商务材料/01-接口文档与报价窗口-Markdown版.md；08_录音转写与原始证据/01_新录音32/02-转写结果.docx,补消费激励池财务边界，避免只在推送码或会员权益里泛泛预留。,新增：T10；关联 REQ-045、REQ-046、REQ-058、REQ-070、REQ-302,后置预留,保留需求、字段和边界说明；不进入 30 天 MVP 主线，后续版本再拆分任务。,water-station/docs/requirements/；water-station/docs/planning/,后续版本评审时再验收；当前只确认其没有被误排进 30 天 MVP。,需人工确认业务口径、验收边界和是否进入本期。
105,基础环境、CI/CD、监控告警与域名 SSL 交付,一期交付需要明确开发、测试、生产环境，CI/CD 流水线、监控告警、域名、SSL 和部署验收，避免上线只靠手工部署。,来源：06_一期开发执行计划/03-执行-基础架构搭建.md；03_需求规格与业务规则/00-一期开发需求与架构总文档.md；09_架构图与参考图片/01-系统架构总览图.png；water-station/docs/architecture/tech-stack.md；需求编号：REQ-081,,六维达康水站项目（需求池完善副本）,P1,跨团队合作,方案中,,,建群,不把 n8n 作为后端事实来源。,,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,六维达康水站项目（需求池完善副本）,,项目管理底座,一期,一期重要,至少定义本地/测试/生产三类环境边界；代码可通过流水线构建、测试和部署；域名、SSL、环境变量、日志、监控告警和回滚步骤有清单；生产密钥不得入库；部署结果可复查。,REQ-081,依赖 REQ-066 合规日志、REQ-068 上线迁移。,,执行计划,骨架方案,骨架,后端,后端数据库,验收补充：CI 至少跑 lint/test/build；监控至少覆盖 API 可用性、错误日志、设备回调异常和队列积压。,域名、备案、证书、服务器、商户号和生产配置依赖甲方提供，未提供会阻塞上线。,06_一期开发执行计划/03-执行-基础架构搭建.md；03_需求规格与业务规则/00-一期开发需求与架构总文档.md；09_架构图与参考图片/01-系统架构总览图.png；water-station/docs/architecture/tech-stack.md,补工程交付需求，避免项目管理只写计划而没有环境、流水线和监控验收。,新增：T11；关联 REQ-001、REQ-066、REQ-068,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/docs/architecture/；water-station/docs/ops/；部署与监控配置记录,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需人工确认业务口径、验收边界和是否进入本期。
106,API 合同治理与正式 OpenAPI 交付,小程序、后台、设备模拟器、后端服务之间需要统一接口合同，接口变更必须同步 DTO、校验、客户端和测试。,来源：water-station/docs/api/contract-rules.md；water-station/docs/api/openapi-phase-1.md；water-station/.agents/skills/api-contract/SKILL.md；05_设备接口与技术方案/04-接口与数据模型总表.md；需求编号：REQ-082,,六维达康水站项目（需求池完善副本）,P0,跨团队合作,方案中,,,建群,当前 openapi-phase-1.md 明确不是最终 OpenAPI YAML，需要转正式合同。,,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,六维达康水站项目（需求池完善副本）,,项目管理底座,一期,一期必需,每个接口明确用途、owner、请求字段、响应字段、错误码和鉴权方式；正式 OpenAPI 或等价合同文件可生成/校验客户端；接口变更同步 DTO、校验规则、API client 和测试；高风险接口需变更评审。,REQ-082,依赖所有一期接口相关需求。,,执行计划,30天MVP,是,后端,后端数据库,验收补充：支付回调、余额扣减、充值、退款、设备出水指令和批量状态变更必须有单独评审记录。,没有 API 合同会导致小程序、后台、设备和测试各做一套字段，联调成本失控。,water-station/docs/api/contract-rules.md；water-station/docs/api/openapi-phase-1.md；water-station/.agents/skills/api-contract/SKILL.md；05_设备接口与技术方案/04-接口与数据模型总表.md,补 API 合同治理，避免需求池只有业务功能而没有接口交付物。,新增：T12；关联 REQ-003、REQ-030、REQ-032、REQ-033、REQ-050,可直接执行,按 新增：T12；关联 REQ-003、REQ-030、REQ-032、REQ-033、REQ-050 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/api/；water-station/services/api/；water-station/packages/shared/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
107,后端事件模型与 n8n 可订阅白名单,订单、设备、工单、告警、通知等状态变化需要后端事件模型统一沉淀，并明确 n8n 只能订阅白名单事件，不能写核心状态。,来源：water-station/docs/ops/backend-events.md；water-station/docs/ops/n8n-test-workflows.md；water-station/docs/ops/n8n-later.md；water-station/.agents/skills/waterstation-domain/SKILL.md；需求编号：REQ-083,,六维达康水站项目（需求池完善副本）,P1,跨团队合作,方案中,,,建群,飞书和 n8n 只做协作/通知层。,,公司后台/系统管理端、配置中心、合规审计与事件白名单,六维达康水站项目（需求池完善副本）,,后台,一期,一期重要,后端定义事件类型、事件字段、触发时机、幂等键和审计留存；n8n 可订阅事件白名单明确；测试 workflow 只能读测试环境事件并发通知草稿；核心订单、支付、余额、设备 ACK 状态只能由后端写入。,REQ-083,依赖 REQ-024 审计日志、REQ-062 工单、REQ-082 API 合同。,,执行计划,骨架方案,骨架,后端,后端数据库,验收补充：事件至少覆盖 order.created、device.command_ack、order.timeout_failed、work_order.created、payment.reconciled 等候选，具体清单以一期合同为准。,n8n 若拥有核心状态写权限会破坏事实来源和审计一致性；生产 webhook 需单独审批。,water-station/docs/ops/backend-events.md；water-station/docs/ops/n8n-test-workflows.md；water-station/docs/ops/n8n-later.md；water-station/.agents/skills/waterstation-domain/SKILL.md,补后端事件和 n8n 边界，不让自动化流程绕过后端事实源。,新增：T13；关联 REQ-001、REQ-024、REQ-062、REQ-068,需人工确认,先确认业务口径和验收边界；确认前只做模型、页面、字段或文档骨架。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,人工确认后补充验收用例；当前检查骨架是否与 30 天 MVP 主链路冲突。,需人工确认业务口径、验收边界和是否进入本期。
108,性能测试与安全测试专项验收,一期测试不能只验证功能通不通，还需要对 API 性能、并发、越权、支付安全、敏感数据和 OWASP 基线做专项验收。,来源：06_一期开发执行计划/09-执行-测试与联调.md；water-station/docs/mvp/acceptance-checklist.md；03_需求规格与业务规则/21-需求-日志与合规.md；需求编号：REQ-084,,六维达康水站项目（需求池完善副本）,P1,跨团队合作,方案中,,,建群,30 天 MVP 至少完成轻量安全检查。,,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,六维达康水站项目（需求池完善副本）,,联调验收,一期,一期重要,输出性能测试报告和安全测试报告；性能至少覆盖核心 API P95、错误率和基础并发；安全至少覆盖登录鉴权、水平越权、垂直越权、支付回调验签、敏感字段脱敏、密钥不入库和常见 OWASP 风险。,REQ-084,依赖 REQ-049 全链路验收、REQ-066 合规日志、REQ-068 上线迁移。,,执行计划,骨架方案,骨架,测试,人工运营,验收补充：报告需包含命令、环境、时间、样本数据、结果截图或日志路径和未通过项。,真实并发指标需按甲方试点规模确定；支付和健康数据安全需单独评审。,06_一期开发执行计划/09-执行-测试与联调.md；water-station/docs/mvp/acceptance-checklist.md；03_需求规格与业务规则/21-需求-日志与合规.md,补测试专项需求，避免上线验收只看功能流程。,新增：T14；关联 REQ-049、REQ-050、REQ-066、REQ-068,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/docs/mvp/；water-station/docs/ops/；测试证据记录,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需人工确认业务口径、验收边界和是否进入本期。
109,Bug 风险闭环与 P0/P1 清零规则,开发测试阶段需要统一 Bug、风险和阻塞处理规则，P0/P1 必须清零或有书面豁免，才能进入试运行或上线。,来源：water-station/docs/requirements/phase-1-prd.md；06_一期开发执行计划/09-执行-测试与联调.md；water-station/docs/collaboration/feishu-task-rules.md；需求编号：REQ-085,,六维达康水站项目（需求池完善副本）,P0,跨团队合作,方案中,,,建群,协作流程不等于产品功能，但属于一期交付门槛。,,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,六维达康水站项目（需求池完善副本）,,联调验收,一期,一期必需,Bug 记录包含严重级别、影响范围、责任人、修复版本、回归结果和证据；P0/P1 上线前清零或由负责人书面豁免；风险项关联需求、测试用例和上线检查；阻塞项有下一步和截止时间。,REQ-085,依赖 REQ-049 全链路验收、REQ-050 后台追踪、REQ-068 试运行上线。,,执行计划,30天MVP,是,测试,飞书协作,验收补充：飞书任务可作为协作载体，但最终验收证据需指向测试记录、日志、截图或提交记录。,没有 Bug/Risk 闭环会导致试运行问题回流到开发阶段且责任不清。,water-station/docs/requirements/phase-1-prd.md；06_一期开发执行计划/09-执行-测试与联调.md；water-station/docs/collaboration/feishu-task-rules.md,补测试治理需求，确保每条高风险问题有修复和回归证据。,新增：T15；关联 REQ-001、REQ-049、REQ-050、REQ-068、REQ-069,可直接执行,按 新增：T15；关联 REQ-001、REQ-049、REQ-050、REQ-068、REQ-069 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/mvp/；water-station/docs/ops/；测试证据记录,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
110,后台系统配置、页面装修与入口开关,公司后台需要配置小程序入口、菜单、页面链接、协议 FAQ、主题装修和功能开关，支撑商城、健康、广告公告、系统说明等运营内容。,来源：03_需求规格与业务规则/27-小程序五端框架说明.html；03_需求规格与业务规则/26-小程序系统功能表.xlsx；03_需求规格与业务规则/25-WBS与分项报价.md；01_对外汇报材料/02-项目总框架-HTML版.html；需求编号：REQ-086,,六维达康水站项目（需求池完善副本）,P1,竞品分析,方案中,,,建群,页面路径和链接需与微信小程序审核规则一致。,,公司后台/系统管理端、配置中心、合规审计与事件白名单,六维达康水站项目（需求池完善副本）,,后台,一期,一期重要,后台可维护小程序菜单、入口开关、页面路径、外链、协议、FAQ、主题配置和排序；配置变更有预览、生效状态、生效时间和操作日志；前端只展示已启用且当前用户有权限的入口。,REQ-086,依赖 REQ-052 用户端范围、REQ-055 后台范围、REQ-208 公告广告。,,正式PRD,骨架方案,骨架,后台,后端数据库,验收补充：商城入口、健康入口、公告广告、协议 FAQ 和系统说明均应走统一配置模型，避免硬编码。,装修能力容易扩大成完整 CMS；一期只做入口、链接、开关和基础内容，不做复杂拖拽页面装修。,03_需求规格与业务规则/27-小程序五端框架说明.html；03_需求规格与业务规则/26-小程序系统功能表.xlsx；03_需求规格与业务规则/25-WBS与分项报价.md；01_对外汇报材料/02-项目总框架-HTML版.html,补后台系统配置中心，避免公司后台只做业务数据表而缺少运营入口配置。,新增：T16；关联 REQ-052、REQ-055、REQ-201、REQ-208,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需人工确认业务口径、验收边界和是否进入本期。
111,消息中心与微信订阅通知事件,用户、配送员、机主和后台需要统一接收充值到账、水卡到期、订单状态、配送状态、报修反馈、系统公告等消息。,来源：03_需求规格与业务规则/27-小程序五端框架说明.html；03_需求规格与业务规则/26-小程序系统功能表.xlsx；03_需求规格与业务规则/00-一期开发需求与架构总文档.md；03_需求规格与业务规则/04-需求-广告公告后台管理.md；需求编号：REQ-087,,六维达康水站项目（需求池完善副本）,P1,客户反馈,方案中,,,建群,30 天 MVP 可先做站内消息和后台记录。,,二期健康预约、会员营销与消息中心预留,六维达康水站项目（需求池完善副本）,,运营,一期,一期重要,定义消息类型、接收角色、触发事件、站内消息内容、微信订阅消息模板和发送状态；用户可查看消息列表和详情；失败消息可重试或降级为站内消息；配送通知、系统公告和报修反馈进入同一消息中心。,REQ-087,依赖 REQ-059 配送通知、REQ-062 运维工单、REQ-083 后端事件。,,正式PRD,骨架方案,骨架,产品,后端数据库,验收补充：微信订阅消息需用户授权和模板资质；消息记录必须关联业务对象和发送结果。,订阅消息模板、短信、企业微信和客服 SOP 需甲方确认；不得把消息通知当作用户申诉或签收凭证。,03_需求规格与业务规则/27-小程序五端框架说明.html；03_需求规格与业务规则/26-小程序系统功能表.xlsx；03_需求规格与业务规则/00-一期开发需求与架构总文档.md；03_需求规格与业务规则/04-需求-广告公告后台管理.md,补统一消息中心，不让通知能力散落在配送、公告和工单需求里。,新增：T17；关联 REQ-017、REQ-059、REQ-062、REQ-083,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需人工确认业务口径、验收边界和是否进入本期。
